Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
37-1_SN4741_S1_L001_R1_001	50.20461343269755	54.0	51.0	27.27272727272727	139393920.0
37-1_SN4741_S1_L001_R2_001	51.49946175855377	54.0	51.0	18.181818181818183	139393920.0
37-1_SN4741_S1_L002_R1_001	50.150169606543685	54.0	51.0	18.181818181818183	140177386.0
37-1_SN4741_S1_L002_R2_001	51.8707198176883	54.0	51.0	18.181818181818183	140177386.0
37-2_SN4741_S3_L001_R1_001	36.77487797332778	54.0	51.0	18.181818181818183	41098164.0
37-2_SN4741_S3_L001_R2_001	33.36394663742482	54.0	51.0	9.090909090909092	41098164.0
37-2_SN4741_S3_L002_R1_001	37.012077197904524	54.0	51.0	9.090909090909092	41199710.0
37-2_SN4741_S3_L002_R2_001	33.7033694503846	54.0	51.0	9.090909090909092	41199710.0
37-3_SN4741_S2_L001_R1_001	31.094764334235293	54.0	51.0	18.181818181818183	30488588.0
37-3_SN4741_S2_L001_R2_001	28.613888514956514	53.0	51.0	9.090909090909092	30488588.0
37-3_SN4741_S2_L002_R1_001	31.477155377902065	54.0	51.0	9.090909090909092	30772239.0
37-3_SN4741_S2_L002_R2_001	28.944335533747207	53.0	51.0	9.090909090909092	30772239.0
37-4_SN4741_S8_L001_R1_001	44.74381660423342	53.0	51.0	18.181818181818183	117258353.0
37-4_SN4741_S8_L001_R2_001	47.08122790633382	53.0	51.0	9.090909090909092	117258353.0
37-4_SN4741_S8_L002_R1_001	44.785663627338735	54.0	51.0	9.090909090909092	118379237.0
37-4_SN4741_S8_L002_R2_001	47.18492500784289	53.0	51.0	9.090909090909092	118379237.0
39-1_SN4741_S4_L001_R1_001	38.21294658403696	54.0	51.0	18.181818181818183	38104713.0
39-1_SN4741_S4_L001_R2_001	34.399501250797485	54.0	51.0	9.090909090909092	38104713.0
39-1_SN4741_S4_L002_R1_001	38.38457176961702	54.0	51.0	9.090909090909092	38318183.0
39-1_SN4741_S4_L002_R2_001	34.48061239119333	54.0	51.0	9.090909090909092	38318183.0
39-2_SN4741_S7_L001_R1_001	39.5461278334971	53.0	51.0	18.181818181818183	50384005.0
39-2_SN4741_S7_L001_R2_001	35.794700870732484	53.0	51.0	9.090909090909092	50384005.0
39-2_SN4741_S7_L002_R1_001	39.87109496553095	53.0	51.0	9.090909090909092	50719766.0
39-2_SN4741_S7_L002_R2_001	36.29934988393262	53.0	51.0	9.090909090909092	50719766.0
39-3_SN4741_S5_L001_R1_001	38.46261810066978	54.0	51.0	18.181818181818183	38165910.0
39-3_SN4741_S5_L001_R2_001	35.51971431944601	54.0	51.0	9.090909090909092	38165910.0
39-3_SN4741_S5_L002_R1_001	38.364863603143796	54.0	51.0	9.090909090909092	38423597.0
39-3_SN4741_S5_L002_R2_001	35.846900070896254	54.0	51.0	9.090909090909092	38423597.0
39-4_SN4741_S6_L001_R1_001	25.766435403531858	49.0	51.0	18.181818181818183	33781080.0
39-4_SN4741_S6_L001_R2_001	24.34530205250087	49.0	51.0	9.090909090909092	33781080.0
39-4_SN4741_S6_L002_R1_001	25.94170231745477	49.0	51.0	9.090909090909092	33987952.0
39-4_SN4741_S6_L002_R2_001	24.41160973120853	49.0	51.0	9.090909090909092	33987952.0
