Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
37-1_SN4741_S1_sorted	Unknown Library	3025081.0	273229961.0	0.0	9657609.0	2396140.0	102164894.0	2119121.0	0.376218	269942438.0
37-2_SN4741_S3_sorted	Unknown Library	1510309.0	79837907.0	0.0	3409625.0	998353.0	14844806.0	578424.0	0.190388	192871212.0
37-3_SN4741_S2_sorted	Unknown Library	944191.0	59629226.0	0.0	2319011.0	589970.0	9215101.0	499539.0	0.158234	180342783.0
37-4_SN4741_S8_sorted	Unknown Library	2184071.0	230837464.0	0.0	7416181.0	1653583.0	71273226.0	1775194.0	0.31087	296485854.0
39-1_SN4741_S4_sorted	Unknown Library	1486630.0	74011303.0	0.0	3336556.0	1007087.0	13463932.0	617808.0	0.186844	184405038.0
39-2_SN4741_S7_sorted	Unknown Library	1863493.0	98014507.0	0.0	4315035.0	1296641.0	25865501.0	820510.0	0.267962	154572769.0
39-3_SN4741_S5_sorted	Unknown Library	918493.0	74851367.0	0.0	2557787.0	645022.0	15036959.0	663969.0	0.203948	165839657.0
39-4_SN4741_S6_sorted	Unknown Library	851468.0	65904853.0	0.0	2876890.0	511412.0	12723295.0	507576.0	0.195671	152498167.0
