Sample	total_reads	paired_total	paired_aligned_none	paired_aligned_one	paired_aligned_multi	paired_aligned_discord_one	paired_aligned_mate_none	paired_aligned_mate_one	paired_aligned_mate_multi	overall_alignment_rate	paired_aligned_mate_multi_halved	paired_aligned_mate_none_halved	paired_aligned_mate_one_halved
37-1_SN4741_S1.align	279571306	279571306	9789191	247878365	21903750	1909211	9657609	3346468	2755883	98.27	1377941.5	4828804.5	1673234.0
37-2_SN4741_S3.align	82297874	82297874	3431986	71753931	7111957	528398	3409625	1499206	898345	97.93	449172.5	1704812.5	749603.0
37-3_SN4741_S2.align	61260827	61260827	2392521	52652569	6215737	469306	2319011	915369	612050	98.11	306025.0	1159505.5	457684.5
37-4_SN4741_S8.align	235637590	235637590	7372097	207036832	21228661	1435618	7416181	2380508	2076269	98.43	1038134.5	3708090.5	1190254.0
39-1_SN4741_S4.align	76422896	76422896	3661721	66195196	6565979	712046	3336556	1506777	1056017	97.82	528008.5	1668278.0	753388.5
39-2_SN4741_S7.align	101103771	101103771	4365006	85873924	10864841	644631	4315035	1830298	1295417	97.87	647708.5	2157517.5	915149.0
39-3_SN4741_S5.align	76589507	76589507	2379392	66959379	7250736	325329	2557787	858876	691463	98.33	345731.5	1278893.5	429438.0
39-4_SN4741_S6.align	67769032	67769032	2484135	53549486	11735411	300560	2876890	771387	718873	97.88	359436.5	1438445.0	385693.5
