Sample	peak_count	fragment_size	treatment_fragments_total	treatment_fragments_after_filtering	treatment_max_duplicates	treatment_redundant_rate	d
37-1_SN4741_S1	84354	319.0	269782115.0	169183346.0	1.0	0.37	319.0
37-2_SN4741_S3	76984	287.0	78865888.0	64213119.0	1.0	0.19	287.0
37-3_SN4741_S2	74026	267.0	58868306.0	49787392.0	1.0	0.15	267.0
37-4_SN4741_S8	92013	278.0	228265493.0	158068253.0	1.0	0.31	278.0
39-1_SN4741_S4	65718	307.0	72761175.0	59509770.0	1.0	0.18	307.0
39-2_SN4741_S7	65232	300.0	96738765.0	71220050.0	1.0	0.26	300.0
39-3_SN4741_S5	68410	278.0	74210115.0	59356862.0	1.0	0.2	278.0
39-4_SN4741_S6	54845	279.0	65284897.0	52742394.0	1.0	0.19	279.0
